,user,text,favorite_count,retweet_count,created_at
54,elonmusk,@BLKMDL3 @EvaFoxU Latter,3965,164,2022-11-21 04:32:33+00:00
55,elonmusk,"@teslaownersSV @EvaFoxU Yes, major focus on video overall",9277,463,2022-11-21 04:32:12+00:00
56,elonmusk,@EvaFoxU Priority #1,242220,16676,2022-11-21 04:29:47+00:00
57,elonmusk,"@SamHarrisOrg Suffer little children, and forbid them not, to come unto me: for of such is the kingdom of heaven",123741,7484,2022-11-21 03:12:01+00:00
58,elonmusk,@EvaFoxU Falcon is powered by 9 merkins!,19299,820,2022-11-21 02:37:00+00:00
59,elonmusk,Our love will never die https://t.co/y5SldfAAt0,462577,35200,2022-11-21 01:55:54+00:00
60,elonmusk,And lead us not into temptation … https://t.co/8qNOXzwXS9,1050109,90914,2022-11-21 01:19:15+00:00
61,elonmusk,@EvaFoxU So tempting …,7265,266,2022-11-21 00:38:35+00:00
62,elonmusk,@HappyJesse Yes,10464,234,2022-11-20 23:36:02+00:00
63,elonmusk,"@kanyewest Don’t kill what ye hate
Save what ye love",281533,15906,2022-11-20 23:08:35+00:00
64,elonmusk,@teslaownersSV @kcoleman Making good progress. Still tracking to wide release next month.,5592,366,2022-11-20 22:30:51+00:00
65,elonmusk,"World Cup Qatar 2022: Opening Ceremony
https://t.co/TjSSitY7fK",126891,13584,2022-11-20 22:21:31+00:00
66,elonmusk,"@TimRunsHisMouth So you say “mainstream media” is biased? 

Hmm, will have to fact-check that with mainstream media.

Nope, they say everything is cool!",155958,13406,2022-11-20 21:55:25+00:00
67,elonmusk,"@RaheemKassam They just can’t stop writing about Twitter, which is driving usage through roof lmao",53273,4587,2022-11-20 21:51:23+00:00
68,elonmusk,@catturd2 One thing is for sure: it’s not boring https://t.co/47uPkl88gZ,101806,6149,2022-11-20 21:49:04+00:00
69,elonmusk,@kcoleman Exactly,18281,835,2022-11-20 21:45:54+00:00
70,elonmusk,@stillgray @mtaibbi “All the news that’s fit to print” my ass,23548,2799,2022-11-20 21:09:46+00:00
71,elonmusk,@CBSNewsPress 🤭,250120,11669,2022-11-20 20:18:43+00:00
